method,output,ssim,lpips,e_ssim,l_c,l_s
adain,000000001818__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.2301,0.5695,0.2356,2.6152,1.1553
adain,000000001818__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.1731,0.5903,0.2267,2.6318,1.2383
adain,000000001818__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.1265,0.6888,0.1805,3.0085,0.8197
adain,000000001818__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.0792,0.8741,0.1331,3.6616,0.5008
adain,000000001818__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.1777,0.7809,0.2106,2.5897,0.5745
adain,000000001818__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.2418,0.5539,0.2694,2.3736,1.5401
adain,000000001818__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.1886,0.6768,0.2248,2.4155,0.8405
adain,000000001818__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.2432,0.5768,0.2737,2.5925,3.1558
adain,000000001818__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.1592,0.6736,0.1806,2.8122,0.9116
adain,000000001818__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.219,0.5435,0.2331,2.4505,1.6004
adain,000000001818__Minimalism__mario-schifano_untitled-1963.jpg,0.0964,1.1344,0.1208,3.5325,1.3446
adain,000000001818__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1277,0.5473,0.1241,2.5691,0.7006
adain,000000001818__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.2217,0.4869,0.2194,2.2985,2.5955
adain,000000001818__Pop_Art__peter-max_composition-red-green-1979.jpg,0.1311,0.6642,0.1601,2.9295,2.3588
adain,000000001818__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.1575,0.6135,0.1533,2.6219,1.8302
adain,000000001818__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.2277,0.5376,0.2505,2.238,0.6324
adain,000000001818__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.1436,0.6788,0.2004,2.6989,0.5518
adain,000000001818__Romanticism__gustave-dore_paradise-lost-4.jpg,0.168,0.5202,0.2007,2.4704,1.2626
adain,000000001818__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.191,0.6124,0.2476,2.5961,1.3552
adain,000000001818__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.1796,0.5916,0.2101,2.4924,2.3646
adain,000000009448__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.2569,0.5502,0.3764,2.4902,1.1445
adain,000000009448__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.247,0.5979,0.3563,2.2318,1.2311
adain,000000009448__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.2005,0.7319,0.3643,2.6765,0.7304
adain,000000009448__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.1932,0.8185,0.2363,3.4604,0.5496
adain,000000009448__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.2459,0.8077,0.2885,2.4864,0.5909
adain,000000009448__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.1876,0.6457,0.2301,2.4816,1.4914
adain,000000009448__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.2045,0.7745,0.2709,2.3787,0.8727
adain,000000009448__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.2161,0.61,0.2755,2.2195,2.4871
adain,000000009448__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.218,0.7335,0.2601,2.6478,0.8908
adain,000000009448__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.1611,0.6295,0.2339,2.3708,1.5614
adain,000000009448__Minimalism__mario-schifano_untitled-1963.jpg,0.1981,1.1467,0.3214,3.2023,1.1379
adain,000000009448__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1266,0.6386,0.1256,2.5976,0.7241
adain,000000009448__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.133,0.614,0.1391,2.4069,2.1228
adain,000000009448__Pop_Art__peter-max_composition-red-green-1979.jpg,0.2386,0.59,0.3779,2.2977,2.4799
adain,000000009448__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.1379,0.7037,0.1403,2.539,1.9802
adain,000000009448__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.2151,0.6634,0.2572,2.3754,0.6135
adain,000000009448__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.2011,0.7214,0.3787,2.2495,0.4388
adain,000000009448__Romanticism__gustave-dore_paradise-lost-4.jpg,0.1755,0.6156,0.2196,2.336,1.1821
adain,000000009448__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.211,0.6215,0.2379,2.422,1.4338
adain,000000009448__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.2344,0.6218,0.3168,2.0949,2.2342
adain,000000072795__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.2745,0.6041,0.268,2.8939,1.5258
adain,000000072795__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.2829,0.5531,0.3028,2.3531,1.0588
adain,000000072795__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.2738,0.6019,0.2682,2.8077,0.8264
adain,000000072795__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.1812,0.9052,0.2149,3.636,0.526
adain,000000072795__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.2356,0.701,0.2678,2.8722,0.5991
adain,000000072795__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.2183,0.5882,0.2322,2.575,1.6895
adain,000000072795__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.2358,0.7203,0.2589,2.7146,0.9171
adain,000000072795__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.2398,0.5134,0.2473,2.3332,2.4493
adain,000000072795__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.2153,0.6908,0.2465,2.8888,0.8471
adain,000000072795__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.282,0.5582,0.2463,2.3978,1.5081
adain,000000072795__Minimalism__mario-schifano_untitled-1963.jpg,0.1614,0.9977,0.1854,3.3545,1.5126
adain,000000072795__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1109,0.6341,0.1237,2.7209,0.6161
adain,000000072795__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.1278,0.5837,0.1272,2.4459,2.2155
adain,000000072795__Pop_Art__peter-max_composition-red-green-1979.jpg,0.1218,0.6333,0.2023,2.8662,1.9469
adain,000000072795__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.1272,0.6686,0.1518,2.6245,1.6859
adain,000000072795__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.2205,0.5239,0.2427,2.3352,0.572
adain,000000072795__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.2759,0.6217,0.2823,2.697,0.6639
adain,000000072795__Romanticism__gustave-dore_paradise-lost-4.jpg,0.2587,0.5642,0.2238,2.4671,1.1569
adain,000000072795__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.1952,0.628,0.2156,2.5954,1.4524
adain,000000072795__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.1388,0.6464,0.2164,2.6079,2.2397
adain,000000078420__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.4781,0.6179,0.4652,2.8208,0.9732
adain,000000078420__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.398,0.59,0.3505,2.432,1.0045
adain,000000078420__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.3949,0.6578,0.365,3.0944,0.7952
adain,000000078420__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.3262,0.7591,0.2781,3.5474,0.4952
adain,000000078420__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.4284,0.7833,0.4062,2.6378,0.5395
adain,000000078420__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.339,0.5594,0.2293,2.593,1.5981
adain,000000078420__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.4182,0.5917,0.3395,2.5447,0.8188
adain,000000078420__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.3864,0.5099,0.3022,2.2854,2.8996
adain,000000078420__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.3858,0.593,0.3325,2.7698,0.9243
adain,000000078420__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.3259,0.5624,0.2217,2.513,1.7069
adain,000000078420__Minimalism__mario-schifano_untitled-1963.jpg,0.3622,0.9216,0.4096,3.3274,1.0967
